Field_ID,easting,northing,zone,azimuth,bo_inc_angle_deg,declination,bo_dec_angle_deg,coil_diameter,detect_coil,noise_coil,pulse_sequence,pulse_width,year
SMR_UD09,769182,6516006,54,60,-63.02,9.24,9.24,100,1,0,FID,70,2023
SMR_UD35,752505,6513516,54,0,-63.09,9.2,9.2,100,1,0,FID,70,2023
SMR_UD36,750125,6512872,54,60,-63.1,9.19,9.19,100,1,4,FID,70,2023
SMR_UD37,749988,6511762,54,0,-63.11,9.19,9.19,100,1,0,FID,70,2023
SMR_UD39,726864,6504755,54,40,-63.2,9.12,9.12,100,1,4,FID,70,2023
SMR_UD40,729729,6505387,54,45,-63.18,9.13,9.13,100,1,4,FID,70,2023
SMR_UD41,735843,6501659,54,60,-63.21,9.16,9.16,100,1,4,FID,70,2023
SMR_UD42,734643,6500705,54,30,-63.23,9.16,9.16,100,1,4,FID,70,2023
SMR_UD43,733435,6499492,54,0,-63.24,9.16,9.16,100,1,4,FID,70,2023
SMR_UD44,741105,6508687,54,0,-63.15,9.17,9.17,100,1,4,FID,70,2023
SMR_UD45,739749,6506268,54,0,-63.17,9.17,9.17,100,1,4,FID,70,2023
SMR_UD46,741735,6507832,54,60,-63.15,9.17,9.17,100,1,4,FID,70,2023
SMR_UD47,737830,6503897,54,60,-63.19,9.17,9.17,100,1,4,FID,70,2023
